Set,Date,date2,Where,Description,State,Number,Zipcodes,notes,cause
FY 2010,01/22/10,01/18/10,"Bao Bui dba Bau Auto Repair, Knoxville, TN 37912","The worker was cleaning the frame of a utility trailer in preparation for painting. The utility trailer was clamped/attached to the forks of a locally manufactured hydraulic lift. The worker raised the lift to its maximum height and while standing under the trailer, continued to hold the hydraulic pump lever in the up position. The hydraulic pressure was too great, a chain link broke, the lift and the 800-pound trailer collapsed on top of the victim.",TN,1,37912,,
FY 2010,01/22/10,01/18/10,"Hampton Golf, Inc., Palm Coast, FL 32164",Worker was crushed by a beverage cart that slid off a lift onto him.,FL,1,32164,,
FY 2010,01/22/10,01/19/10,"Heinz North America, Chatsworth, CA",Worker was crushed by a lift truck.,CA,1,91311,,
FY 2010,01/22/10,01/19/10,"Marathon Petroleum Company, Kenova, WV 25530",Worker fell from the deck of a tug boat transporting coal barges on the river. Worker was swept underneath the vessel by the river current and drowned.,WV,1,25530,,
FY 2010,01/22/10,01/19/10,"Stuart's Landscaping, Fond du Lac, WI 54937",Worker was operating a dump truck hauling rock that was being dumped into the lake. The dump truck fell through the ice near the dumping site killing the worker.,WI,1,54937,,
FY 2010,01/22/10,01/20/10,"Arena Drilling Co., Andrews, TX 79714",Worker was caught in a block line.,TX,1,79714,,
FY 2010,01/22/10,01/21/10,"Color Spot Nurseries, New Summerfield, TX 75780","Worker had entered a soil hopper system while the auger was rotating. Worker's clothes were caught in the rotating auger, pulling the worker's body into the auger.",TX,1,75780,,
FY 2010,01/22/10,01/21/10,"Davis Excavation, Inc., McKinney, TX 75069","Worker was in the process of installing the connector pins to secure two trench boxes. A cave-in occurred, knocking the upper trench box off the lower trench box and pinning the worker between the spreader bars of two trench boxes.",TX,1,75069,,
FY 2010,01/22/10,01/21/10,"Schneider Electric, El Paso, TX 79912",Worker was testing an electrical panel at 480 Volts and was electrocuted.,TX,1,79912,,
FY 2010,01/22/10,01/22/10,"Lyondell Basell, Houston, TX 77017",Worker fell from a tower at a non-operational unit at a refinery complex.,TX,1,77017,,
FY 2010,01/22/10,01/23/10,"Bradley Plumbing and Heating, Inc., Tuskegee, AL 36088",Worker was working on a mezzanine to move an air handling unit using a pry bar. Worker lost his footing and fell from an unprotected edge to the floor 20 feet below.,AL,1,36088,,
FY 2010,01/29/10,11/12/2009,"Clear Creek CBM LLC, Coshen, UT 84633",Individual removed a strap to unload pipe from a semi-trailer and one of the pipes fell onto the individual which resulted in his death. After extensive review it has been determined there was no employer/employee relationship.,UT,1,84633,,
FY 2010,01/29/10,01/08/2010,"Mechanical Solutions LLC dba Simpson Company, Boulder, CO 80304",Worker fell through a guardrail 8 to 10 feet from mezzanine to lower level.,CO,1,80304,,
FY 2010,01/29/10,01/21/10,"Sergio Leon dba Sergio & Ruben, Hot Springs Village, AR 71909",Worker was installing 2 by 6 ceiling joists on a home. One of the joists broke; the worker lost his balance and fell 10 feet to the concrete floor inside.,AR,1,71909,,
FY 2010,01/29/10,01/22/10,"American Grading and Land Clearing, Peachtree City, GA",Two workers were performing tree removal. The tree fell on the two workers. One worker fatality and one worker hospitalization.,GA,1,30269,,
FY 2010,01/29/10,01/22/10,"Shannon Platt Construction, Centerville, SD 57014",Worker was removing the cone-shaped roof of a grain bin. Worker was working from a basket that was attached lengthwise off of the end of the forks 12 feet and was elevated 35 feet in the air. The forklift tipped over and struck the ground.,SD,1,57014,,
FY 2010,01/29/10,01/23/10,"Cooper-Vennette Property Services, Inc., Tampa, FL 33634",Worker was spray painting a building and was found pinned/crushed between the aerial bucket and an awning structure.,FL,1,33634,,
FY 2010,01/29/10,01/23/10,"Ethyl Corporation, Pasadena, TX 77503",Worker was collecting a water sample and was found with the upper half of his body in a diked containment area containing 11 inches of rain water.,TX,1,77503,,
FY 2010,01/29/10,01/25/10,"H.D. Supply, La Habra, CA","Worker was standing beside his truck preparing to strap down a load of steel sprinkler pipe bundles, when a forklift operator loading bundles on the left side of the truck bed inadvertently knocked a bundle off the truck bed. The bundle struck the driver knocking him to the ground. He was transported to the hospital where he died later from internal injuries.",CA,1,90631,,
FY 2010,01/29/10,01/26/10,"Cassens Transport Company, Gaithersburg, Maryland 20878",Worker was struck by passing vehicle while he was delivering cars.,GA,1,20878,,
FY 2010,01/29/10,01/26/10,"Lehigh Southwest Cement Co., Tehachapi, CA 93561",Worker was run over by tractor trailer.,CA,1,93561,,
FY 2010,01/29/10,01/26/10,"Roy Builders Inc., Lansing, NY 14882",Worker fell from roof elevation.,NY,1,14882,,
FY 2010,01/29/10,01/26/10,"Washington Metropolitan Area Transit Authority, Rockville, MD 20805",Two maintenance workers were killed when struck by a rail maintenance vehicle while establishing a work zone.,MD,1,20805,,
FY 2010,01/29/10,01/27/10,"Alko Systems, Inc., Marco Island, FL 34145",Worker was installing security cameras and fell from a flat roof 16 feet.,FL,1,34145,,
FY 2010,01/29/10,01/28/10,"Max Convenience Stores, LLC, Louisville, KY 40223","Worker was working at 2:47 a.m. in a convenience store, when he was shot during a robbery attempt. He was taken off life support on 1/27/2010.",KY,1,40223,,
FY 2010,01/29/10,01/28/10,"Thermal Polymer Systems, LC, Angleton, TX 77515","Workers were coating the interior of a trailer tank; fumes ignited from the trailer tank, causing a flash fire. One worker fatality and two workers were hospitalized.",TX,1,77515,,
FY 2010,01/29/10,01/30/10,"Cargill Meat Solutions, Nebraska City, NE 68410",Worker was disassembling storage racks from inside a scissor lift elevated 20 feet and attaching a strap to the rack and slowly leaning it over. The strap caught the lift and tipped over with the rack.,NE,1,68410,,
FY 2010,02/05/2010,11/14/09,"Manuel Orozco, Bethesda, MD 20817",Worker was standing on a ladder with a chain saw to cut a tree trunk. The chain saw apparently struck the victim 's neck.,MD,1,20817,,
FY 2010,02/05/2010,11/18/09,"Welty Homes, Inc., Bethesda, MD 20817",Worker either fell from ladder or roof.,MD,1,20817,,
FY 2010,02/05/2010,12/05/2009,"SUNY Binghamton University, Binghamton, NY 13902",A professor was assaulted while providing mentoring services in an assigned office space. Event occurred during normal office hours. Multiple stab injuries to abdomen and torso.,NY,1,13902,,
FY 2010,02/05/2010,01/07/2010,"NYCHA Edenwald Houses, Bronx, NY 10466",Worker of New York City Housing Authority was found dead at his work station in the boiler room. (Inspection planned),NY,1,10466,,
FY 2010,02/05/2010,01/18/10,"Cinderella Properties, Auburn, WA 98002",Skull fracture.,WA,1,98002,,
FY 2010,02/05/2010,01/19/10,"Oak Express, Syracuse, NY  13224","Worker was unloading a trailer, and a box fell on him.",NY,1,13224,,
FY 2010,02/05/2010,01/20/10,"NYS Police Troop C, Morris, NY",Trooper collided with a westbound tractor trailer.,NY,1,13808,,
FY 2010,02/05/2010,01/26/10,"NYC Department of Sanitation - Queens West 1, Astoria, NY 11106",Worker was killed after being pinned between a tractor trailer and his garbage truck.,NY,1,11106,,
FY 2010,02/05/2010,01/29/10,"Capital Trading LLC, West Jordan, UT 84088",Worker was crushed between a delivery truck and the loading dock resulting in serious injuries and his death.,UT,1,84088,,
FY 2010,02/05/2010,01/29/10,"Integrity Machining Inc., Seattle, WA 98117 ",Worker was struck by a steel shaft being worked on in a lathe.,WA,1,98117 ,,
FY 2010,02/05/2010,01/29/10,"Kitchell Contractors, Inc, Phoenix, AZ 85106 ",Worker was run over by a forklift on a construction site and fatally injured.,AZ,1,85106 ,,
FY 2010,02/05/2010,01/29/10,"Parkdale Mills, Belmont, NC 28502 ",Worker was in the process of unloading a truck when the forklift he was operating overturned.,NC,1,28502 ,,
FY 2010,02/05/2010,01/30/10,"Octopus Car Wash, Albuquerque, NM 87113","A car being driven off of the exit-end of the car wash conveyor to the drying area outside of the building accelerated suddenly, striking the worker standing near the auto door to the outside.",NM,1,87113,,
FY 2010,02/05/2010,01/30/10,"Sturdivant Woodyards, Inc., Sandersville, MS  39477",Worker was found at the log loading site beneath the front right tire of a skidder.,MS,1,39477,,
FY 2010,02/05/2010,02/02/2010,"Manheim's San Francisco Bay Auto Auction, Hayward, CA 94544 ",Worker was found lying dead on roadway adjacent to work. Apparent homicide.,CA,1,94544 ,,
FY 2010,02/05/2010,02/02/2010,"Martinez Tire Shop, Houston, TX  77013","Worker was inflating a tire that exploded, striking him",TX,1,77013,,
FY 2010,02/05/2010,02/02/2010,"Stone Crafter, Wintor Park, FL  32792","Worker was assisting in the delivery of granite slabs using a forklift.  The forklift hit two slabs that fell, striking the worker on the head.",FL,1,32792,,
FY 2010,02/05/2010,02/03/2010,"Apac Southeast, Inc., Winter Haven, FL  33884 ",Worker was in the process of putting equipment on a machine and was found on the ground by other workers; apparent heart attack.,FL,1,33884 ,,
FY 2010,02/05/2010,02/03/2010,"P.A.M. Transport, Inc., North Jackson, OH  44451 ",Worker was found unresponsive after pulling a tractor trailer into the shop building.,OH,1,44451 ,,
FY 2010,02/05/2010,02/03/2010,"Palatka Welding Shop Inc., Palm Coast, FL  32164 ","Worker was installing metal roofing and fell 35 feet, hitting the concrete floor.",FL,1,32164 ,,
FY 2010,02/05/2010,02/04/2010,"Long Foundation Drilling Co., Cullman, AL  35057","Worker was lowered into a 30- to 35-foot deep shaft to perform hand cleaning and to drill a sample test of a rock.  He was being lifted out of the shaft by the use of a pneumatic winch system.  The winch system collapsed into the shaft, striking the worker.",AL,1,35057,,
FY 2010,02/05/2010,02/04/2010,"Schneider National Carriers, Green Bay, WI  54313",Worker was adjusting the wheel location of a trailer and was run over by the trailer of the truck.,WI,1,54313,,
FY 2010,02/05/2010,02/05/2010,"Breeze National Inc., New York, NY  10027",Worker fell from scaffold into a window opening and 20 feet down an elevator shaft.,NY,1,10027,,
FY 2010,02/05/2010,02/06/2010,"Green Circle Bio Energy, Inc., Cottondale, FL  32431",Worker received severe steam burns to his lungs during the clinker material clearing process.,FL,1,32431,,
FY 2010,02/05/2010,02/13/10,"Dynamic Wireless, Haskell, AR  72012",Worker was disassembling a communication tower and fell 98 feet to the ground.,AR,1,72012,,
FY 2010,02/12/2010,01/14/10,"Mercy Medical Center, Mason City, IA 50401","Worker noticed the sodium hydroxide pipe was leaking. He tried to stop the leak and got sodium hydroxide on himself. After cleaning the spill, the worker took a shower and collapsed and died.",IA,1,50401,,
FY 2010,02/12/2010,01/21/10,"Delta Air Lines Inc., Seattle, WA 91858",Worker was operating a tug vehicle that transfers luggage from terminals to airplanes. The tug collided with a food service truck. The worker was ejected from the tug and struck his head on the pavement. He was transferred to the hospital where he later died.,WA,1,91858,,
FY 2010,02/12/2010,01/27/10,"Borinquen Metal Scrap Corp., Gurabo, PR 00778","While working on a metal roof, the aluminum metal sheet, which was deteriorated, broke. The worker fell to the ground, later dying at the hospital.",PR,1,778,,
FY 2010,02/12/2010,02/03/2010,"Odele Incorporated, Morgantown, KY 47307",Workers were painting a newly constructed sludge pit. Worker turned to find other worker slumped down by the wall.,KY,1,47307,,
FY 2010,02/12/2010,02/07/2010,"Coverflex, Middletown, CT  06457","Workers were doing a ""blow down"" to clear gas from the lines and an explosion occurred.  One worker fatality.",CT,1,6457,,
FY 2010,02/12/2010,02/07/2010,"Instrument Sciences and Technology, Middletown, CT  06457","Workers were doing a ""blow down"" to clear gas from the lines and an explosion occurred.  One worker fatality.",CT,1,6457,,
FY 2010,02/12/2010,02/07/2010,"Julies Café LLC, Green Bay, WI  54301","Worker slipped at work, fracturing ankle.  Worker died of blood clots two days later.",WI,1,54301,,
FY 2010,02/12/2010,02/07/2010,"Keystone Construction & Maintenance, Middletown, CT  06457","Workers were doing a ""blow down"" to clear gas from the lines and an explosion occurred.  There were three fatalities.",CT,1,6457,,
FY 2010,02/12/2010,02/08/2010,"Alpine Courier Inc, Hillsboro, OR 97124",Worker was caught between the back of a semi-trailer and a loading dock. He was transported to the hospital where he later died.,OR,1,97124,,
FY 2010,02/12/2010,02/08/2010,"AT&T, Orlando, FL  32826",Worker was shot by an unknown assailant in the parking lot and was hospitalized; shooter then committed suicide.,FL,1,32826,,
FY 2010,02/12/2010,02/08/2010,"East Alabama Paving Company, Inc., Opelika, AL  36804",Worker was struck by a dump truck.,AL,1,36804,,
FY 2010,02/12/2010,02/08/2010,"Matuia & Matuia Construction, Inc., Lake Jackson, TX  77566",Worker entered a manhole in an abandoned sewer line to remove a cap from a vent line and fell 7to 10 feet from a ladder.,TX,1,77566,,
FY 2010,02/12/2010,02/08/2010,"Texas Disposal, Austin, TX  78610","Workers were working under the chassis of a water pump that was up on four jack stands.  One of the jacks was removed and the water pump came down, crushing the worker.",TX,1,78610,,
FY 2010,02/12/2010,02/09/2010,"Quality Surface Processing, Schofield, WI  54476","Worker was dipping a metal part into a heated bath and an explosion occurred, burning worker.",WI,1,54476,,
FY 2010,02/12/2010,02/10/2010,"JD Enterprises Inc., Laramie, WY, 82070",Excavator broke through ice coming to rest on its side and entrapping worker underwater.,WY,1,82070,,
FY 2010,02/12/2010,02/10/2010,"Time Warner Cable, Wichita Falls, TX  76306",Worker fell out of bucket truck after his truck was struck by another vehicle.,TX,1,76306,,
FY 2010,02/12/2010,02/10/2010,"Unknown, El Segundo, CA 90245",Worker suffered heart attack and died while sweeping water from the roof of an apartment building. (Inspection planned),CA,1,90245,,
FY 2010,02/12/2010,02/10/2010,"Volunteers of America of Ohio, Cleveland, OH  44110",Worker was assaulted by a homeless veteran.,OH,1,44110,,
FY 2010,02/12/2010,02/11/2010,"D&S Tree Service, Inc., Marion IL  62959","Worker was using a wood chipper to process branches from a tree trimming job.  The chipper discharge chute clogged up and the worker removed the pin that held the access panel down over the cutterwheel.  The cutterwheel was still rotating and discharged wood material against the access panel, which flipped open and the worker was hit in the face and forehead with the handle of the access panel.",IL,1,62959,,
FY 2010,02/12/2010,02/12/2010,"Batzli Excavating Company Inc., East Rochester, OH  44625",Worker was emptying rock salt out of the back of his dump truck with a spreader.  His arm was caught in the rotating auger distribution system.,OH,1,44625,,
FY 2010,02/12/2010,02/12/2010,"Uptowner Inns Inc. dba Holiday Inn Hotel and Suite, Huntington, WV  25701",Worker was exposed to a chemical stripping agent and suffered respiratory pain / illness due to poor ventilation.,WV,1,25701,,
FY 2010,02/19/10,02/09/2010,"KAL Services, Inc. dba Midwest Sanitation, Oskaloosa, IA 52577",Worker was trying to grab a large piece of cardboard out of the back of the garbage truck when the driver began to close the tailgate. The driver heard the worker and opened it. The worker who had been caught by the tailgate was transported to the hospital where he later died.,IA,1,52577,,
FY 2010,02/19/10,02/15/10,"Carr & Sons, Masonry, Inc., Clearwater, FL  33767",Worker was working on a column and fell over safety rail from the second level.,FL,1,33767,,
FY 2010,02/19/10,02/15/10,"Suburban Tire Company, St. Charles, IL  60174",Worker was crushed between the ground and the arm of an automotive lift.,IL,1,60174,,
FY 2010,02/19/10,02/16/10,"Galland Henning Nopak, Inc., West Milwaukee, WI  53215","Worker was working in the yard moving a piece of steel with an overhead crane.  The piece fell, crushing the worker.",WI,1,53215,,
FY 2010,02/19/10,02/16/10,"J & M Construction, McLoud, OK  74851",Worker was attempting to tie into a main water line that was 17 to 20 feet underground when the trench collapsed.,OK,1,74851,,
FY 2010,02/19/10,02/16/10,"Southland Steel Fabricators, Baton Rouge, LA  70816","Worker was working from a manlift connecting a beam.  The beam being held by a crane, shifted and hit the manlift knocking the worker from the manlift, 14 to16 feet to the ground.",LA,1,70816,,
FY 2010,02/19/10,02/17/10,"Duncan Oil Co., South Charleston, OH  45368","Worker was refilling aboveground fuel oil tanks from a tank truck.  He had walked behind the truck and bent over, his coat was caught in the power take-off.",OH,1,45368,,
FY 2010,02/19/10,02/17/10,"Eaton Corporation, Belmond, IA 50421","Worker, a machine operator, was using a grinding machine and the grinding wheel on the machine broke into pieces. One piece of the wheel struck the worker in the face. The worker died instantly.",IA,1,50421,,
FY 2010,02/19/10,02/17/10,"Elco Oil LLC, Beggs, OK  74421","Worker was draining a tank; one of the employees climbed to the top of the tank and lit a cigarette and waved it over the opening in the tank.  The tank exploded, killing the worker.",OK,1,74421,,
FY 2010,02/19/10,02/17/10,"Jeff Schoenfelder Farms, Rochester, Minnesota 55904",Worker found unconscious in a hog barn.,MN,1,55904,,
FY 2010,02/19/10,02/17/10,"The Clarion Hotel & Conference Center, Shepherdstown, WV  25443","Worker was working in the kitchen area and fainted / fell to the floor, grabbing hold of a deep fryer, spilling hot grease out onto her and burning 30 percent of her body.",WV,1,25443,,
FY 2010,02/19/10,02/18/10,"Total I.T. Solutions, Pearl, MS  39208",Worker was removing an antenna from a hangar roof.  He was walking a beam and stepped off and fell through the roof of the hangar.,MS,1,39208,,
FY 2010,02/19/10,02/19/10,"Nationwide Scrap, LLC, Brooklyn, NY  11385",Worker was struck by a powered industrial truck that was loading paper bales into a semi-trailer.,NY,1,11385,,
FY 2010,02/19/10,02/20/10,"Mountain State Carbon, LLC, Follansbee, WV  26037",Worker was traveling underneath a coal transfer belt.  A large icicle broke away from the belt structure and fell onto the worker.,WV,1,26037,,
FY 2010,02/26/10,02/04/2010,"Hansell Mitzel Homes LLC, Mt. Vernon, WA 98273",Worker was crushed by the bulldozer he was operating. He was transported to the hospital where he later died.,WA,1,98273,,
FY 2010,02/26/10,02/14/10,"Severstal Sparrows Point, LLC, Sparrows Point, MD 21219",Worker was descending from the cab/platform built into the side of the vehicle. The worker fell backwards and landed on the concrete floor.,MD,1,21219,,
FY 2010,02/26/10,02/16/10,"Sound Storage Management, Everett, WA 98201",Worker was bitten by a customer's dog at a gated storage facility while on duty. Worker passed away two days later at the hospital from blood poisoning related to the dog bite.,WA,1,98201,,
FY 2010,02/26/10,02/18/10,"A to Z Island Maintenance, Inc., Chinquapin, NC 28521","Six workers were installing bracing to trusses while working on/inside the web of the trusses with two workers on the ground. The trusses collapsed/rolled. Two workers fell from the trusses and were injured. One worker, the ground man, was cutting lumber to length. He was killed when the trusses fell on him.",NC,1,28521,,
FY 2010,02/26/10,02/18/10,"Gary Pellandini Dairy, Galt, CA 95632","Worker was moving hay out of a barn from a height of 10 to 12 feet. He fell and received head trauma, from which he died.",CA,1,95632,,
FY 2010,02/26/10,02/18/10,"Lewis Tree Service, Inc., Troy, NC 27371",Worker was struck on the head by a tree limb while felling a tree.,NC,1,27371,,
FY 2010,02/26/10,02/18/10,"Peninsula Packaging Co., LLC, Wilson, NC 27893",Worker was performing maintenance on an extruder machine. He was discovered caught in the machine by the plant manager. He was pronounced dead at the scene.,NC,1,27893,,
FY 2010,02/26/10,02/18/10,State of MD Department of Juvenile Services/Chettenham,Worker was murdered.,MD,1,21201,,
FY 2010,02/26/10,02/21/10,"Celina Aluminum Precision Technology, Inc., Celina, OH  45822","Worker was troubleshooting a Makino, multi-axis, computer numerical controlled (CNC) machine; the machine activated and the worker's head was impaled by the tooling spindle.",OH,1,45822,,
FY 2010,02/26/10,02/22/10,"Center Point Energy, Baytown, TX  77521",Worker was climbing a tower at a height of 58 feet and began having convulsions.,TX,1,77521,,
FY 2010,02/26/10,02/22/10,"City of Chicago Police Department, Chicago, IL 60653",Police officer was involved in a vehicle accident with a marked car. Apparently he struck a pole and tree and was pronounced dead at the hospital.,IL,1,60653,,
FY 2010,02/26/10,02/22/10,"County of Cleveland - Self-McNeilly Solid Waste Management Facility, Shelby, NC 28150",Worker was working as a landfill spotter. He was behind a CAT 836G compactor and the operator of the compactor did not see him. The operator of the compactor backed over the worker. He was taken to the hospital where he later died.,NC,1,28150,,
FY 2010,02/26/10,02/22/10,"George J. Roll & Sons, Inc., Blue Island, IL  60406",Worker was attempting to find the problem of a hydraulic flatbed truck.  He rose up the flatbed and positioned himself beneath the raised flatbed and the frame.  The hydraulics gave way and the worker was crushed.,IL,1,60406,,
FY 2010,02/26/10,02/22/10,"Ricklefs Excavating LTD, Cedar Rapids, IA 52404","Workers were utilizing excavator with pipe clamp to plastic-wrap 18-foot pipes. Upon completion of wrapping, the pipe excavator operator picked up pipe with the clamp. The pipe came out of the pipe clamp resulting in the pipe falling onto the worker's chest which caused a fatal crushing injury.",IA,1,52404,,
FY 2010,02/26/10,02/22/10,"Unibridge System Inc., Woodward, OK  73801","Worker was in the process of unloading pipe from a trailer.  He was removing a chain that was routed through the middle of the front weigh bridge, when the pipe rolled off the top of the load, striking the worker in the upper extremities knocking him down on the ground.",OK,1,73801,,
FY 2010,02/26/10,02/24/10,"B K D Construction Inc., Juana Diaz, PR 00795","While operating a boom truck attempting to move a junked truck, suddenly the boom broke from its base and stuck the worker causing a serious chest injury. The worker was killed.",PR,1,795,,
FY 2010,02/26/10,02/24/10,"Gaudiosi Hauling Inc., Wolcott, CT  06716","Worker, acting as a spotter, was struck by the garbage truck that was backing up.",CT,1,6716,,
FY 2010,02/26/10,02/24/10,"Horween Leather Company, Chicago, IL  60614","Worker was working on a step ladder adjusting a pipe on top of the pasting machine and fell backwards off of the ladder, hitting his head on the metal plate floor.",IL,1,60614,,
FY 2010,02/26/10,02/24/10,"Sea World, Orlando, FL  32821","Worker, an animal trainer, was attacked by a killer whale in an aquarium's exhibition tank.",FL,1,32821,,
FY 2010,03/06/2010,01/20/10,"Brown's Trash Removal, Perrysville, OH  44864",Worker had exited the cab of a truck.  Worker ran across the street to collect garbage and was hit by a vehicle.,OH,1,44864,,
FY 2010,03/06/2010,01/21/10,"Sure Steel Inc, Pahoa, HI 96778",Worker of a structural steel erection crew that was installing roof decking fell from the deck under construction to the concrete floor below. Worker was transported to the hospital where he later died.,HI,1,96778,,
FY 2010,03/06/2010,02/12/2010,"Rainaway Rain Control, Inc., Miami, FL  33126","Worker was doing a job on a 6-foot ladder, lost his balance and fell, striking his head.",FL,1,33126,,
FY 2010,03/06/2010,02/15/10,"Wal-Mart Store, Rogerville, TN 37857",Worker tripped on an extension cord and fell onto a tiled floor in the deli. She was transported to the hospital where she later died.,TN,1,37857,,
FY 2010,03/06/2010,02/16/10,"Municipio de Utuado, Utuado, PR 00641",Worker caught by the garbage truck compactor.,PR,1,641,,
FY 2010,03/06/2010,02/23/10,"Township of Murphysboro - Public Works, Murphysboro, IL 62966",Garage worker was found pinned by a vehicle at 6:45 a.m. The vehicle was still in drive and he had been pinned for a undetermined amount of time. He was taken to the hospital for treatment where he died later.,IL,1,62966,,
FY 2010,03/06/2010,02/26/10,"Aramark Services, Charleston, IL  61920",Worker was returning from the rest room and collapsed.,IL,1,61920,,
FY 2010,03/06/2010,02/26/10,"Birney Elementary School, Tacoma, WA 98408",Teacher was shot multiple times as she entered the workplace.,WA,1,98408,,
FY 2010,03/06/2010,02/27/10,"Mercados Bakery, Lajas, PR 00667","Bakery worker, was using a home-made elevator to hoist material from the first level to the second level on a two story building. Upon entering  the elevator at the second floor, the chain sling supporting the elevator failed. The elevator in free fall caught the employee in/between the floor edge. He was found dead by a fellow worker.",PR,1,667,,
FY 2010,03/06/2010,02/28/10,"AGJ Four, Inc., Smithtown, NY  11787",Worker fell in a sewage pit.,NY,1,11787,,
FY 2010,03/06/2010,03/01/2010,"Cooper T. Smith Stevedoring Co., Inc., Houston, TX  77014",Worker had climbed a ladder to watch his gang.  A rolling crane was approaching his location and he did not see the second crane coming.  The walkway of the crane struck him off the ladder onto the ship's main deck. He was then caught by a piece of pipe and dragged until the crane was stopped.,TX,1,77014,,
FY 2010,03/06/2010,03/02/2010,"Coastal Chemical Co. LLC, Beaumont, TX  77705",Worker was struck by a 500-gallon tank that fell off the tines of a forklift.,TX,1,77705,,
FY 2010,03/06/2010,03/02/2010,"Northwest Insulation, Artesia, NM 88211","Four insulation contractors were installing insulation on top of a new crude storage tank. The tank had been filled with water during recent hydrostatic testing. The workers were completing construction. Workers were welding when a fire ignited. Two fell from the tank, sustaining injuries, and were hospitalized. A third worker remained on top of the tank and was fatally burned. Fourth worker remains missing and is presumed dead.",NM,1,88211,,
FY 2010,03/06/2010,03/03/2010,"Church's Fried Chicken, Kenedy, TX  78119",Worker pressure washing a freezer via gasoline-powered washer was overcome by carbon monoxide.,TX,1,78119,,
FY 2010,03/06/2010,03/03/2010,"Eastman Drilling Co., Blackwell, OK  74631",Worker was drilling a water well.  The boom of the drilling rig contacted a high voltage power line of a cell phone tower.  Worker was electrocuted.,OK,1,74631,,
FY 2010,03/06/2010,03/03/2010,"Fikes Truck Lines LLC, Houston, TX  77041","Worker was in the process of removing synthetic straps from a load of four, 7-inch by 50-foot long, metal utility poles, when one of the poles, stacked on top, fell and landed on top of him.",TX,1,77041,,
FY 2010,03/06/2010,03/03/2010,"M & L Services Co, Junction City, KS  66441",Worker was flushing a refrigerator line and did not extinguish the pilot light on the water heater.,KS,1,66441,,
FY 2010,03/06/2010,03/03/2010,"Peoples Gas Light and Coke Company, Chicago, IL  60606",Two workers were conducting a pressure test on a pipe located in a timber-shored trench.  The workers were pressurizing the pipe to the desired amount.  The pipe burst and the pressure of the air forced the pipe and the timber shoring toward the workers.  One worker fatality and one worker hospitalization.,IL,1,60606,,
FY 2010,03/06/2010,03/03/2010,"Wireline Control Services, Alice, TX  50518","Worker was working in a pressure wash bay, cleaning some open-ended pipe, and was found collapsed on the concrete floor.",TX,1,50518,,
FY 2010,03/06/2010,03/04/2010,"Contract Transportation Systems Inc, Oakridge, OR 97463",Worker was driving a commercial truck and collided with several large bales of hay that fell off an unknown semi-trailer.,OR,1,97463,,
FY 2010,03/06/2010,03/04/2010,"DE Best Plumbing, Inc., Columbus, GA  31901","Worker was making preparations to stack steel beams in a storage area; an I-beam fell from a mansport truck, striking the worker.",GA,1,31901,,
FY 2010,03/06/2010,03/04/2010,"Finger Lakes Service Group, Rochester, NY  14607","Worker was using a ""Better Spreader"" to apply glue to the rubber membrane, walking backwards.  He backed off the roof and fell 27 feet to the ground below.",NY,1,14607,,
FY 2010,03/06/2010,03/04/2010,"Kojis Signs, LLC, Kirbyville, TX  77595","Worker was installing lamp/bulbs while in an elevated bucket on a truck and contacted a live wire, receiving a lethal shock.",TX,1,77595,,
FY 2010,03/06/2010,03/05/2010,"Erickson Contract Surveying, Inc., Beach, ND  58621","Worker was conducting seismographic drilling operations. Worker was tipping pipe out of the hole; the pipe came loose, and fell on the worker.",ND,1,58621,,
FY 2010,03/06/2010,03/05/2010,"M Construction, Alamo, TX  78516",Worker was working inside a trench without a protective system; the trench walls collapsed.,TX,1,78516,,
FY 2010,03/06/2010,03/05/2010,"Tyson Refrigerated Processed Meats, Inc., Houston, TX  72762","Worker was working on the electrical wiring for overhead fluorescent lights in the attic of a plant, and was electrocuted.",TX,1,72762,,
FY 2010,03/06/2010,03/05/2010,"U.S. Marine Corps, Marine Corps Community Service, Jacksonville , NC  28540","Worker had taken a flat bottom boat out for a ride to put 10 hours of usage on the new motor.  Worker fell from the moving boat and his body was found later, floating.",NC,1,28540,,
FY 2010,03/13/10,03/04/2010,"Ames Construction, Phoenix, AZ 85382",Worker was killed when he overturned his side dump truck and struck a parked water truck.,AZ,1,85382,,
FY 2010,03/13/10,03/04/2010,"University of Wyoming, Laramie, WY 82071","A material handler was walking in a parking lot when he slipped on some ice causing him to fall, striking his head on parking lot surface.",WY,1,82071,,
FY 2010,03/13/10,03/05/2010,"Big Boyz Truck, Motley, MN 56466",Worker was working beneath a trailer when the jack stand broke.,MN,1,56466,,
FY 2010,03/13/10,03/06/2010,"Valor Technologies, Inc., Mt. Prospect, IL  60058",Worker was disposing waste parquet flooring and tile from a gondola plastic cart into a dumpster.  Worker collapsed into the dumpster; apparent heart attack.,IL,1,60058,,
FY 2010,03/13/10,03/10/2010,"Dave Shaw Concrete & Block Inc., Hermosa Beach, CA 90254 ","Worker was standing on platform/plywood on forklift and fell into a 15-foot excavation which collapsed around him, burying him.",CA,1,90254 ,,
FY 2010,03/13/10,03/10/2010,"Etchegaray Farms, McFarland, CA 93250  ",Worker was struck by falling windmill blades when he went to start equipment.,CA,1,93250  ,,
